#序号	名称	零售价
1	艾叶	0.09
2	白茅根	0.1
3	白梅花（绿萼梅）	1.6
4	白前	0.3
5	白芍	0.14
6	白薇	0.3
7	白鲜皮	0.47
8	白芷	0.11
9	百合	0.19
10	板蓝根	0.09
11	败酱草	0.07
12	柴胡	0.42
13	北沙参	0.18
14	槟榔	0.13
15	补骨脂	0.09
16	侧柏叶	0.05
17	蝉蜕	1.8
18	炒白术	0.16
19	苍耳子	0.05
20	炒苍术	0.42
21	炒谷芽	0.07
22	鸡内金	0.08
23	杏仁	0.12
24	炒莱菔子	0.1
25	炒麦芽	0.05
26	炒牛蒡子	0.11
27	桃仁	0.25
28	炒酸枣仁	0.78
29	炒王不留行	0.06
30	炒栀子	0.15
31	车前草	0.08
32	陈皮	0.05
33	赤茯苓	0.11
34	赤芍	0.21
35	茺蔚子	0.17
36	川楝子	0.05
37	川牛膝	0.12
38	川芎	0.12
39	垂盆草	0.1
40	椿根皮	0.12
41	醋艾炭	0.09
42	鳖甲	0.6
43	醋没药	0.83
44	醋青皮	0.09
45	醋乳香	0.28
46	醋五味子	0.75
47	醋延胡索（元胡）	0.23
48	大黄	0.12
49	丹参	0.15
50	淡豆豉	0.12
51	当归	0.25
52	党参（潞党参）	0.42
53	地肤子	0.08
54	地骨皮	0.36
55	地榆炭	0.1
56	丁香	0.28
57	豆蔻（白蔻仁）	0.25
58	独活	0.09
59	杜仲	0.09
60	杜仲炭	0.09
61	煅磁石	0.03
62	煅瓦楞子	0.02
63	莪术	0.12
64	法半夏	0.58
65	防风	0.17
66	佛手	0.15
67	麸炒薏仁	0.06
68	枳壳	0.18
69	麸炒枳实	0.42
70	茯苓（云苓）	0.14
71	茯神	0.23
72	覆盆子	1.35
73	甘草	0.09
74	甘松	0.52
75	干姜	0.08
76	高良姜	0.09
77	藁本	0.34
78	葛根	0.08
79	钩藤	0.38
80	瓜蒌	0.11
81	广藿香	0.08
82	桂枝	0.05
83	海金沙	0.62
84	海螵蛸（乌贼骨）	0.12
85	合欢花	0.17
86	合欢皮	0.05
87	黑顺片（附子）	0.17
88	红花	0.42
89	红藤（大血藤）	0.07
90	厚朴	0.17
91	虎杖	0.08
92	化橘红	0.1
93	黄柏	0.17
94	黄精	0.25
95	黄连	0.64
96	黄芪	0.14
97	黄芩	0.16
98	火麻仁	0.11
99	鸡血藤	0.05
100	蒺藜	0.12
101	姜黄	0.15
102	僵蚕	0.7
103	降香	0.91
104	焦麦芽	0.05
105	焦山楂	0.04
106	焦神曲	0.05
107	芥子	0.09
108	金钱草	0.1
109	金银花	0.6
110	金樱子	0.15
111	荆芥	0.06
112	荆芥穗	0.15
113	酒大黄	0.15
114	酒黄精	0.35
115	酒女贞子	0.05
116	桔梗	0.23
117	菊花	0.22
118	决明子	0.07
119	苦参	0.08
120	款冬花	0.66
121	莱菔子	0.08
122	连翘	0.18
123	六神曲	0.05
124	龙胆草	0.36
125	龙骨	0.21
126	芦根	0.1
127	马齿苋	0.08
128	麦冬	0.41
129	蔓荆子	0.14
130	蜜百部（炙）	0.13
131	蜜蒙花	0.08
132	绵萆薢	0.11
133	墨旱莲	0.05
134	牡丹皮（丹皮）	0.14
135	牡蛎	0.03
136	木香	0.12
137	木贼	0.06
138	南沙参	0.19
139	牛蒡子	0.12
140	怀牛膝	0.11
141	女贞子	0.05
142	胖大海	0.56
143	炮姜	0.19
144	蒲公英	0.1
145	前胡	0.33
146	茜草	0.6
147	羌活	0.8
148	秦皮	0.09
149	忍冬藤	0.05
150	肉桂	0.08
151	三棱	0.08
152	桑寄生	0.05
153	桑椹	0.13
154	桑叶	0.05
155	沙苑子	0.12
156	砂仁	1.69
157	山慈菇	1.8
158	山药	0.14
159	蛇床子	0.11
160	射干	0.2
161	伸筋草	0.08
162	升麻	0.22
163	白术	0.15
164	生地黄	0.1
165	生麦芽	0.05
166	生蒲黄	0.45
167	石菖蒲	0.26
168	石膏	0.02
169	石斛	0.23
170	石苇	0.12
171	熟地	0.08
172	檀香	3
173	天花粉	0.18
174	天麻	0.51
175	葶苈子	0.07
176	通草	1.2
177	透骨草	0.08
178	土鳖虫	0.15
179	土茯苓	0.09
180	菟丝子	0.14
181	瓦楞子	0.05
182	威灵仙	0.25
183	乌药	0.1
184	吴茱萸	1.44
185	五灵脂	0.21
186	细辛	0.34
187	夏枯草	0.1
188	仙鹤草	0.05
189	仙茅	0.42
190	香附	0.08
191	小通草	0.84
192	薤白	0.22
193	辛荑	0.16
194	续断	0.13
195	徐长卿	0.25
196	玄参（元参）	0.09
197	旋复花	0.14
198	盐巴戟天	0.38
199	盐补骨脂	0.09
200	盐杜仲	0.09
201	野菊花	0.34
202	夜交藤（首乌藤）	0.08
203	益母草	0.05
204	益智仁	0.35
205	薏苡仁	0.06
206	茵陈	0.08
207	银柴胡	0.19
208	鱼腥草	0.07
209	郁金	0.14
